
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"bmt8757192b.3"    ,    0.00000,  8.16802E+0003,  7.96743E+0003
"bmt162346820.1"   ,    0.00000,  8.19076E+0003,  7.96743E+0003
"bmt162346820.2"   ,    0.00000,  8.13908E+0003,  7.96743E+0003
"bmt162346820.3"   ,    0.00000,  8.16802E+0003,  7.96743E+0003
"bmt8757184b.1"    ,    0.00000,  8.19076E+0003,  7.96743E+0003
"bmt8757184b.2"    ,    0.00000,  8.13908E+0003,  7.96743E+0003
"bmt8757184b.3"    ,    0.00000,  8.16802E+0003,  7.96743E+0003
"bmt8757197b.1"    ,    0.00000,  8.19076E+0003,  7.96743E+0003
"bmt8757197b.2"    ,    0.00000,  8.13908E+0003,  7.96743E+0003
"bmt8757197b.3"    ,    0.00000,  8.16802E+0003,  7.96743E+0003
"bmt8757201b.1"    ,    0.00000,  8.19076E+0003,  7.96743E+0003
"bmt8757201b.2"    ,    0.00000,  8.13907E+0003,  7.96743E+0003
"bmt8757201b.3"    ,    0.00000,  8.16802E+0003,  7.96743E+0003
"bmt8757202b.1"    ,    0.00000,  8.19076E+0003,  7.96743E+0003
"bmt8757202b.2"    ,    0.00000,  8.13907E+0003,  7.96743E+0003
"bmt8757202b.3"    ,    0.00000,  8.16802E+0003,  7.96743E+0003
"bmt162346822.1"   ,    0.00000,  8.19075E+0003,  7.96743E+0003
"bmt162346822.2"   ,    0.00000,  8.13907E+0003,  7.96743E+0003
"bmt162346822.3"   ,    0.00000,  8.16801E+0003,  7.96743E+0003
"bmt8757220b.1"    ,    0.00000,  8.19078E+0003,  7.96743E+0003
"bmt8757220b.2"    ,    0.00000,  8.13910E+0003,  7.96743E+0003
"bmt8757220b.3"    ,    0.00000,  8.16804E+0003,  7.96743E+0003
"bmt3996895b.2"    ,    0.00000,  8.13901E+0003,  7.96743E+0003
"bmt8757765b.2"    ,    0.00000,  8.13898E+0003,  7.96743E+0003
"bmt3996902b.2"    ,    0.00000,  8.13897E+0003,  7.96743E+0003
"bmt8757149b.1"    ,    0.00000,  8.19076E+0003,  7.96743E+0003
"bmt8757149b.2"    ,    0.00000,  8.13907E+0003,  7.96743E+0003
"bmt8757149b.3"    ,    0.00000,  8.16802E+0003,  7.96743E+0003
"bmt8757146b.1"    ,    0.00000,  8.19075E+0003,  7.96743E+0003
"bmt8757146b.2"    ,    0.00000,  8.13907E+0003,  7.96743E+0003
"bmt8757146b.3"    ,    0.00000,  8.16801E+0003,  7.96743E+0003
"bmt8757145b.1"    ,    0.00000,  8.19075E+0003,  7.96743E+0003
"bmt8757145b.2"    ,    0.00000,  8.13907E+0003,  7.96743E+0003
"bmt8757145b.3"    ,    0.00000,  8.16801E+0003,  7.96743E+0003
"bmt8757129b.1"    ,    0.00000,  8.19075E+0003,  7.96743E+0003
"bmt8757129b.2"    ,    0.00000,  8.13906E+0003,  7.96743E+0003
"bmt8757129b.3"    ,    0.00000,  8.16801E+0003,  7.96743E+0003
"bmt162346821.1"   ,    0.00000,  8.19074E+0003,  7.96743E+0003
"bmt162346821.2"   ,    0.00000,  8.13906E+0003,  7.96743E+0003
"bmt162346821.3"   ,    0.00000,  8.16801E+0003,  7.96743E+0003
"bmt165920948.1"   ,    0.00000,  8.11316E+0003,  7.96743E+0003
"bmt165920948.2"   ,    0.00000,  8.05594E+0003,  7.96743E+0003
"bmt165920948.3"   ,    0.00000,  8.06827E+0003,  7.96743E+0003
"bmt8758501b.1"    ,    0.00000,  8.11313E+0003,  7.96743E+0003
"bmt8758501b.2"    ,    0.00000,  8.05591E+0003,  7.96743E+0003
"bmt8758501b.3"    ,    0.00000,  8.06825E+0003,  7.96743E+0003
