
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"bmt734987c.1"     ,    0.00000,  8.26511E+0003,  7.96743E+0003
"bmt734987c.2"     ,    0.00000,  8.26313E+0003,  7.96743E+0003
"bmt734987c.3"     ,    0.00000,  8.26217E+0003,  7.96743E+0003
"bmt6211312b.1"    ,    0.00000,  8.19690E+0003,  7.96743E+0003
"bmt6211312b.2"    ,    0.00000,  8.19576E+0003,  7.96743E+0003
"bmt6211312b.3"    ,    0.00000,  8.19723E+0003,  7.96743E+0003
"bmt6211319b.1"    ,    0.00000,  8.19528E+0003,  7.96743E+0003
"bmt6211319b.2"    ,    0.00000,  8.19415E+0003,  7.96743E+0003
"bmt6211319b.3"    ,    0.00000,  8.19561E+0003,  7.96743E+0003
"bmt6211326b.1"    ,    0.00000,  8.19379E+0003,  7.96743E+0003
"bmt6211326b.2"    ,    0.00000,  8.19265E+0003,  7.96743E+0003
"bmt6211326b.3"    ,    0.00000,  8.19412E+0003,  7.96743E+0003
"bmt6211333b.1"    ,    0.00000,  8.19214E+0003,  7.96743E+0003
"bmt6211333b.2"    ,    0.00000,  8.19100E+0003,  7.96743E+0003
"bmt6211333b.3"    ,    0.00000,  8.19247E+0003,  7.96743E+0003
"bmt6211340b.1"    ,    0.00000,  8.19060E+0003,  7.96743E+0003
"bmt6211340b.2"    ,    0.00000,  8.18946E+0003,  7.96743E+0003
"bmt6211340b.3"    ,    0.00000,  8.19093E+0003,  7.96743E+0003
"bmt6211347b.1"    ,    0.00000,  8.18937E+0003,  7.96743E+0003
"bmt6211347b.2"    ,    0.00000,  8.18823E+0003,  7.96743E+0003
"bmt6211347b.3"    ,    0.00000,  8.18970E+0003,  7.96743E+0003
"bmt6211354b.1"    ,    0.00000,  8.18836E+0003,  7.96743E+0003
"bmt6211354b.2"    ,    0.00000,  8.18722E+0003,  7.96743E+0003
"bmt6211354b.3"    ,    0.00000,  8.18869E+0003,  7.96743E+0003
