
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus            Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

bmt163562801      8.263      1.037    0.03598     0.4355     0.038    0.4599
bmt2616640b       8.262      1.037    0.03612     0.4372   0.03796    0.4595
bmt173119499       8.26      1.037    0.03618      0.438   0.03812    0.4615
bmt163562802      8.262      1.037     0.0362     0.4381   0.03794    0.4593
bmt163562803       8.26      1.037          0          0         0         0
bmt2616731b       8.258      1.036    0.03718     0.4503    0.0377    0.4565
bmt163818035      8.255      1.036     0.0379     0.4591   0.03752    0.4546
bmt163817668      8.254      1.036    0.03802     0.4606   0.03749    0.4542
bmt163818040      8.251      1.036    0.03872     0.4693   0.03733    0.4524
bmt163818041      8.249      1.035     0.0392     0.4751   0.03721     0.451
bmt2616836b        8.26      1.037          0          0         0         0
bmt163818043      8.258      1.036          0          0         0         0
bmt2616962b       8.249      1.035    0.03931     0.4766   0.03718    0.4507
bmt125124815      8.243      1.035    0.04053     0.4917   0.03687    0.4473
bmt163818044       8.24      1.034    0.04132     0.5014   0.03667    0.4451
bmt160348502      8.246      1.035          0          0         0         0
bmt2616983b       8.246      1.035          0          0         0         0
bmt163818045       8.23      1.033          0          0         0         0
bmt2609528b       8.239      1.034    0.04153      0.504   0.03662    0.4445
bmt125124836      8.238      1.034    0.04192     0.5089   0.03653    0.4434
bmt163818046      8.237      1.034    0.04225      0.513   0.03646    0.4426
bmt125127013      8.228      1.033          0          0         0         0
bmt2609983b       8.228      1.033          0          0         0         0
bmt163818047      8.241      1.034          0          0         0         0
bmt3102531b       8.236      1.034     0.0424     0.5148   0.03642    0.4422
bmt125127020      8.228      1.033          0          0         0         0
bmt125127027      8.228      1.033          0          0         0         0
bmt2609570b       8.228      1.033          0          0         0         0
bmt1599568b       8.227      1.033          0          0         0         0
bmt2609507b       8.227      1.033          0          0         0         0
bmt163818048      8.232      1.033    0.04349     0.5283   0.03618    0.4395
bmt163818049      8.222      1.032          0          0         0         0
bmt3102566b       8.229      1.033    0.04405     0.5353   0.03606    0.4382
bmt1599582b       8.227      1.033    0.04462     0.5424   0.03594    0.4368
bmt3102657b       8.227      1.033     0.0447     0.5434   0.03592    0.4366
bmt163818050      8.224      1.032    0.04538     0.5518   0.03578     0.435
bmt163818051      8.214      1.031          0          0         0         0
bmt163818052      8.222      1.032    0.04597     0.5591   0.03566    0.4337
bmt163818053      8.221      1.032    0.04621     0.5622   0.03562    0.4333
bmt160818300      8.218      1.031    0.04695     0.5714   0.03547    0.4316
bmt160818301      8.217      1.031          0          0         0         0
bmt3102762b       8.217      1.031    0.04711     0.5733   0.03543    0.4312
bmt160818304      8.213      1.031    0.04811     0.5858    0.0352    0.4286
bmt3102839b       8.225      1.032          0          0         0         0
bmt3102888b       8.212      1.031    0.04825     0.5875   0.03517    0.4282
bmt160818306      8.211      1.031    0.04856     0.5913    0.0351    0.4275
bmt160818307      8.209       1.03          0          0         0         0
bmt3103077b       8.201      1.029          0          0         0         0
bmt3103084b       8.209       1.03    0.04912     0.5983   0.03497     0.426
bmt136045949      8.206       1.03     0.0497     0.6056   0.03484    0.4245
bmt3103140b       8.206       1.03    0.04981      0.607   0.03486    0.4248
bmt1599631b       8.204       1.03    0.05025     0.6125   0.03493    0.4257
bmt1985513b       8.203       1.03    0.05037     0.6141   0.03494     0.426
bmt163923429      8.193      1.028          0          0         0         0
bmt163923430      8.193      1.028          0          0         0         0
bmt2607589b       8.191      1.028          0          0         0         0
